disease,model,accuracy,precision,recall,f1,auc_roc,mse,mae,tn,fp,fn,tp
diabetes,SVC,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.7924074074074074,0.17393389949698349,0.34080193259149955,83,17,21,33
diabetes,RandomForest,0.7467532467532467,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.8101851851851851,0.1666979054952163,0.32173268852995746,85,15,24,30
heart,SVC,0.926829268292683,0.9166666666666666,0.9428571428571428,0.9295774647887324,0.9771428571428571,0.04820084075513135,0.11586922035096997,91,9,6,99
heart,RandomForest,1.0,1.0,1.0,1.0,1.0,0.007265943255350922,0.054606271777003494,100,0,0,105
anemia,SVC,0.9894736842105263,0.9763779527559056,1.0,0.9880478087649402,1.0,0.0065224505156957855,0.02146892074516355,158,3,0,124
anemia,RandomForest,1.0,1.0,1.0,1.0,1.0,0.0002842105263157896,0.007508771929824564,161,0,0,124
